Quarter,Estimated,Reported
Q1 2020,$2.20,$2.48
Q4 2019,$1.71,$1.78
Q3 2019,$1.63,$1.80
Q2 2019,$2.20,$2.44
Q1 2019,$2.21,$2.46
Q4 2018,$2.14,$2.22
Q3 2018,$1.99,$2.02
Q2 2018,$1.73,$1.97
Q1 2018,$1.63,$1.80
Q4 2017,$1.59,$1.64
Q3 2017,$1.54,$1.62
Q2 2017,$1.39,$1.52
Q1 2017,$1.03,$1.16
Q4 2016,$1.42,$1.77
Q3 2016,$0.98,$1.15
Q2 2016,$0.86,$1.04
Q1 2016,$0.56,$0.71
Q4 2015,$0.91,$0.99
Q3 2015,$0.76,$0.84
Q2 2015,$0.51,$0.68
Q1 2015,$0.46,$0.47
Q4 2014,$0.86,$0.80
Q3 2014,$1.10,$1.23
Q2 2014,$0.79,$0.85
Q1 2014,$0.66,$0.68
Q4 2013,$0.79,$0.82
Q3 2013,$0.86,$1.01
Q2 2013,$0.57,$0.63
Q1 2013,$0.89,$0.84
Q4 2012,$1.31,$1.49
Q3 2012,$1.10,$1.27
Q2 2012,$0.65,$0.72
Q1 2012,$1.17,$1.17
Q4 2011,$1.40,$1.50
Q3 2011,$1.24,$1.31
Q2 2011 ,$1.06,$1.10
Q1 2011,$0.86,$0.99
Q4 2010,$0.59,$0.70
Q3 2010,$0.35,$0.41
Q2 2010,$0.27,$0.28
Q1 2010,$0.15,$0.15
Q4 2009,$0.15,$0.09
Q3 2009,$0.27,$0.34
Q2 2009,$0.07,$0.12
Q1 2009,$0.35,$0.32
Q4 2008,$0.57,$0.60
Q3 2008,$0.62,$0.67
Q2 2008,$0.71,$0.75
